test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
NORNE,t2small1,2020-06-13 03:07:53,792.94,791.91282,0.002855,3.196997,247,3.970228,3.287713,2.954651,2.5931849999999996
NORNE,t2small1,2020-06-13 14:23:11,786.09,785.012982,0.002774,3.169398,247,3.828552,3.267688,2.8833066,2.529155
NORNE,t2small1,2020-06-13 20:32:26,832.9,831.112221,0.002761,3.355562,247,4.195931,3.463671,3.0772922,2.7211292
NORNE,t2small2,2020-06-13 15:16:50,820.7,819.1055085,0.005498,3.298088,247,4.852852,3.459715,2.9839952000000003,2.5647402
NORNE,t2small2,2020-06-13 20:55:18,835.59,833.9033815,0.005442,3.357873,247,5.208581,3.367856,2.8542256000000004,2.4984553000000003
NORNE,t2small2,2020-06-13 04:15:25,851.36,849.3115339999999,0.005364,3.420282,247,4.955954,4.319821,3.2742674000000003,2.8411891
NORNE,t2small4,2020-06-13 16:15:22,1203.83,1201.78154875,0.004589,4.843302,247,8.309417,4.739834,4.048487,3.7388743000000004
NORNE,t2small4,2020-06-13 05:33:28,1075.11,1073.1901527500002,0.005025,4.323373,247,6.395571,4.211693,3.5710156,3.2713794
NORNE,t2small4,2020-06-13 21:23:21,1114.92,1111.74861475,0.004768,4.479445,247,6.181666,4.227795,3.4941136,3.133946
NORNE,t2small8,2020-06-13 07:12:06,1642.71,1639.88663175,0.004872,6.608706,247,9.055023,7.039756,5.1552458,4.6352678
NORNE,t2small8,2020-06-14 04:53:21,1615.06,1612.424438,0.004509,6.499803,247,10.092637,6.683819,5.2376576,4.361419699999999
NORNE,t2small8,2020-06-13 22:06:13,1541.53,1538.0893839999999,0.004393,6.200665,247,9.127154,6.30781,4.7435528,4.3410394
NORNE,t3small1,2020-06-12 23:25:05,661.84,660.459428,0.008045,2.652605,247,3.307348,2.848027,2.6185614,2.2926376
NORNE,t3small1,2020-06-13 14:42:49,680.52,679.1785125,0.007996,2.727924,247,3.557937,2.907948,2.7274276,2.3578102000000003
NORNE,t3small1,2020-06-13 03:27:54,673.93,672.6913875,0.008153,2.701426,247,3.314069,2.867989,2.6463888,2.303606
NORNE,t3small2,2020-06-12 23:44:19,530.87,528.23859275,0.009905,2.117711,247,2.806902,2.175963,1.9172642,1.6824390999999999
NORNE,t3small2,2020-06-13 15:41:36,491.31,489.6156015,0.010806,1.961076,247,2.569925,2.095969,1.8186828,1.6076393
NORNE,t3small2,2020-06-13 04:41:22,493.36,492.0617470000001,0.010682,1.971162,247,2.601806,2.059976,1.814638,1.6206177
NORNE,t3small4,2020-06-13 00:02:32,508.12,506.1879273750001,0.011585,2.026039,247,2.88677,2.255966,1.8079686,1.5482641
NORNE,t3small4,2020-06-13 06:07:48,511.46,509.90671675,0.010189,2.043661,247,2.86085,2.259972,1.8234437999999997,1.5481884000000001
NORNE,t3small4,2020-06-13 16:51:53,513.75,512.05774575,0.010662,2.050913,247,2.933465,2.21195,1.7975424,1.5369060000000003
NORNE,t3small8,2020-06-13 00:25:22,609.83,607.0610471875001,0.009486,2.436098,247,3.660751,2.183335,1.7593779999999999,1.5927882999999998
NORNE,t3small8,2020-06-13 17:33:33,585.16,582.750537125,0.00986,2.336128,247,3.549855,2.140008,1.7402462,1.5544639999999998
NORNE,t3small8,2020-06-13 20:09:19,611.81,608.84362625,0.010227,2.439299,247,3.978821,2.20796,1.9426279999999998,1.6622445999999997
NORNE,t3xlarge1,2020-06-13 15:01:05,398.98,397.6233545,0.012467,1.590016,247,2.020642,1.759959,1.537562,1.3390011999999998
NORNE,t3xlarge1,2020-06-13 03:45:53,415.1,413.9259285,0.012283,1.655515,247,2.15689,1.779954,1.584311,1.3900685
NORNE,t3xlarge1,2020-06-12 21:29:00,426.46,425.2302275,0.012183,1.700888,247,2.162771,1.836845,1.6519088,1.4432684
NORNE,t3xlarge2,2020-06-13 15:57:52,409.68,407.97175212499997,0.012164,1.63192,247,2.348911,1.891958,1.5617988,1.3205101000000001
NORNE,t3xlarge2,2020-06-13 04:58:07,416.45,414.987094125,0.011735,1.660589,247,2.348886,1.839964,1.493525,1.2842951
NORNE,t3xlarge2,2020-06-12 21:56:25,388.88,387.242111125,0.013098,1.547424,247,2.220412,1.816061,1.4445966000000001,1.2280342000000002
NORNE,t3xlarge4,2020-06-13 17:10:56,493.48,491.6399246875,0.010062,1.97036,247,2.936975,1.799956,1.5082732,1.3170183000000002
NORNE,t3xlarge4,2020-06-13 06:27:35,481.31,478.7633188125,0.01016,1.918983,247,2.816398,1.803956,1.464089,1.2952122000000001
NORNE,t3xlarge4,2020-06-12 22:11:45,461.29,459.63515299999995,0.010878,1.840572,247,2.687398,1.75599,1.4345066,1.2612578999999997
NORNE,t3xlarge8,2020-06-12 22:33:38,734.57,732.2283777812501,0.00722,2.942401,247,4.809935,3.115967,2.3045028,1.9875102999999998
NORNE,t3xlarge8,2020-06-13 17:58:32,743.47,741.12050784375,0.007972,2.979516,247,4.379135,2.991954,2.1651764,1.8923508000000002
NORNE,t3xlarge8,2020-06-13 19:38:41,725.2,722.4166416875001,0.008886,2.902561,247,4.641607,3.115965,2.2544186,1.9613484000000003
NORNE,c5xlarge1,2020-06-13 03:58:57,407.04,405.98944174999997,0.010645,1.626391,247,2.173249,1.627956,1.5047496,1.3152718
NORNE,c5xlarge1,2020-06-12 21:42:22,353.75,352.5953165,0.010069,1.413309,247,1.845666,1.471991,1.3498964,1.1850117
NORNE,c5xlarge1,2020-06-12 18:24:13,426.99,425.80778799999996,0.01039,1.706212,247,2.205398,1.755967,1.5702714,1.4121994
