[MO833] t1_antes_paramount,5.669960
[MO833] t1_antes_paramount,5.669808
[MO833] t1_antes_paramount,5.631756
[MO833] t1_antes_paramount,5.693218
[MO833] Paramount Iteration,1,2.614982,8.246738
[MO833] Paramount Iteration,1,2.618229,8.288037
[MO833] Paramount Iteration,1,2.620904,8.290864
[MO833] Paramount Iteration,1,2.574345,8.267563
[MO833] Paramount Iteration,2,1.965888,10.212626
[MO833] Paramount Iteration,2,1.965764,10.253801
[MO833] Paramount Iteration,2,1.965742,10.256606
[MO833] Paramount Iteration,2,1.963976,10.231539
[MO833] Paramount Iteration,3,1.303106,11.515732
[MO833] Paramount Iteration,3,1.303175,11.556976
[MO833] Paramount Iteration,3,1.303292,11.559898
[MO833] Paramount Iteration,3,1.303966,11.535505
[MO833] Paramount Iteration,4,1.666032,13.181764
[MO833] Paramount Iteration,4,1.665983,13.222959
[MO833] Paramount Iteration,4,1.666004,13.225902
[MO833] Paramount Iteration,4,1.663964,13.199469
[MO833] Paramount Iteration,5,2.127644,15.353546
[MO833] Paramount Iteration,5,2.133946,15.356905
[MO833] Paramount Iteration,5,2.138183,15.319947
[MO833] Paramount Iteration,5,2.147990,15.347459
[MO833] Paramount Iteration,6,1.714409,17.034356
[MO833] Paramount Iteration,6,1.716726,17.073631
[MO833] Paramount Iteration,6,1.720962,17.074508
[MO833] Paramount Iteration,6,1.689901,17.037360
[MO833] Paramount Iteration,7,1.867598,18.901954
[MO833] Paramount Iteration,7,1.867821,18.941452
[MO833] Paramount Iteration,7,1.868120,18.942628
[MO833] Paramount Iteration,7,1.868108,18.905468
[MO833] Paramount Iteration,8,0.605383,19.507337
[MO833] Paramount Iteration,8,0.605433,19.546885
[MO833] Paramount Iteration,8,0.605415,19.548043
[MO833] Paramount Iteration,8,0.605331,19.510799
[MO833] Paramount Iteration,9,0.643013,20.150350
[MO833] Paramount Iteration,9,0.642948,20.189833
[MO833] Paramount Iteration,9,0.643099,20.191142
[MO833] Paramount Iteration,9,0.642858,20.153657
[MO833] Paramount Iteration,10,2.014927,22.206069
[MO833] PI avg,1.653611,10
[MO833] Paramount Iteration,10,2.018758,22.208591
[MO833] PI avg,1.653878,10
[MO833] Paramount Iteration,10,2.021105,22.171455
[MO833] PI avg,1.653970,10
[MO833] Total time,22.223740
[MO833] Beta,0.343734
[MO833] Total time,22.189798
[MO833] Beta,0.341608
[MO833] Total time,22.226008
[MO833] Beta,0.343871
[MO833] Paramount Iteration,10,2.036322,22.189979
[MO833] PI avg,1.649676,10
[MO833] Total time,22.215033
[MO833] Beta,0.346627
