test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
spe10model1,t2small1,2020-06-13 03:07:53,92.67,91.88656,0.005274,0.114256,800,2.321015,1.046245,0.8929554,0.5535427
spe10model1,t2small1,2020-06-13 14:23:11,90.59,89.857142,0.005598,0.111696,800,2.202064,1.008583,0.8593888,0.5348426
spe10model1,t2small1,2020-06-13 20:32:26,94.42,91.464502,0.005874,0.113663,800,2.308125,1.051742,0.9050370000000001,0.5614048
spe10model1,t2small2,2020-06-13 15:16:50,315.98,315.1043025,0.002165,0.393106,800,11.450096,5.806028,4.8185284,2.9975232000000003
spe10model1,t2small2,2020-06-13 20:55:18,348.49,347.60326050000003,0.001722,0.433832,800,12.670532,6.64536,5.2546206,3.4254033999999995
spe10model1,t2small2,2020-06-13 04:15:25,353.62,352.7335315,0.001733,0.440232,800,13.555235,7.247782,5.423915,3.3337286999999995
spe10model1,t2small4,2020-06-13 16:15:22,605.17,604.25459125,0.001352,0.754412,800,24.940888,12.08644,8.0180166,5.2112568
spe10model1,t2small4,2020-06-13 05:33:28,562.73,561.7898725,0.001478,0.701319,800,24.300732,11.265872,7.875609999999999,5.0646735
spe10model1,t2small4,2020-06-13 21:23:21,558.85,557.894088,0.001458,0.69647,800,22.509291,10.06853,7.512705800000001,4.904203400000001
spe10model1,t2small8,2020-06-13 23:35:45,906.89,905.885709125,0.001098,1.131252,800,39.896452,18.366742,14.939708000000001,10.2480515
spe10model1,t2small8,2020-06-14 01:47:14,986.8,983.9587682499999,0.001345,1.228329,800,44.324544,23.932098,16.957358,11.3394486
spe10model1,t2small8,2020-06-13 22:06:13,1695.96,1694.7851443750003,0.000586,2.117394,800,38.993475,21.607221,15.4783106,10.683823799999999
spe10model1,t3small1,2020-06-12 23:25:05,120.61,120.059674,0.005018,0.149408,800,3.848071,1.972916,1.5063314,0.9169120000000002
spe10model1,t3small1,2020-06-13 14:42:49,120.55,120.0586665,0.004879,0.149442,800,3.958754,1.987597,1.5105682,0.9157434
spe10model1,t3small1,2020-06-13 03:27:54,119.43,118.854871,0.004649,0.147978,800,3.822506,1.954908,1.4710224,0.8914646999999999
spe10model1,t3small2,2020-06-12 23:44:19,184.61,183.51599025000002,0.003365,0.228743,800,6.368334,2.75532,2.0025452,1.3047141
spe10model1,t3small2,2020-06-13 15:41:36,162.84,162.231033,0.007119,0.201456,800,6.125828,2.283654,1.6763682,1.091219
spe10model1,t3small2,2020-06-13 04:41:22,169.66,168.8320775,0.006272,0.210294,800,5.627721,2.422138,1.9373304,1.2373410999999999
spe10model1,t3small4,2020-06-13 00:02:32,262.45,261.263145875,0.003294,0.325636,800,9.999577,4.981774,3.6972924,2.5236839
spe10model1,t3small4,2020-06-13 06:07:48,266.45,264.2443845,0.004794,0.329293,800,10.024778,5.091277,3.7992000000000004,2.5902416
spe10model1,t3small4,2020-06-13 16:51:53,252.27,251.172184875,0.007033,0.313104,800,9.624703,4.771635,3.782177,2.5353999000000003
spe10model1,t3small8,2020-06-13 00:25:22,393.84,391.8657303125,0.00508,0.488966,800,15.633931,6.744092,5.083331800000001,3.4786029000000007
spe10model1,t3small8,2020-06-13 17:33:33,385.54,384.1126442500001,0.004708,0.479215,800,14.859443,6.550038,4.9270164,3.3638023000000006
spe10model1,t3small8,2020-06-13 20:09:19,371.46,367.5536309375001,0.002882,0.458236,800,14.69638,6.661782,4.7796614,3.2602320999999996
spe10model1,t3xlarge1,2020-06-13 15:01:05,95.21,94.70624975,0.005739,0.117883,800,2.661595,1.045556,0.8295298000000001,0.5373799
spe10model1,t3xlarge1,2020-06-13 03:45:53,97.92,97.38116274999999,0.006525,0.121099,800,2.802501,1.238674,0.9189849999999999,0.5868684
spe10model1,t3xlarge1,2020-06-12 21:29:00,98.59,98.0307195,0.005968,0.121979,800,2.890807,1.095276,0.8299472,0.546117
spe10model1,t3xlarge2,2020-06-13 15:57:52,188.0,187.44746825,0.003315,0.233657,800,6.742812,3.391296,2.5313879999999997,1.7213764999999994
spe10model1,t3xlarge2,2020-06-13 04:58:07,200.17,199.34497775000003,0.003256,0.248514,800,7.017949,3.567146,2.6472901999999996,1.8009931000000001
spe10model1,t3xlarge2,2020-06-12 21:56:25,177.85,177.0454925,0.003356,0.220713,800,6.13711,3.1501,2.3054642000000003,1.5638364000000002
spe10model1,t3xlarge4,2020-06-13 17:10:56,313.19,312.310498125,0.002226,0.38968,800,11.999423,5.229264,3.922532199999999,2.6709683999999996
spe10model1,t3xlarge4,2020-06-13 06:27:35,298.77,297.92860187499997,0.00267,0.371573,800,11.426737,4.956993,3.7041675999999994,2.5263297000000002
spe10model1,t3xlarge4,2020-06-12 22:11:45,294.33,293.43870281249997,0.002371,0.366062,800,11.422835,5.208478,3.7609129999999995,2.5632268999999996
spe10model1,t3xlarge8,2020-06-12 22:33:38,545.2,544.2114029375001,0.00168,0.67928,800,21.857259,12.887578,8.5166656,5.434537400000001
spe10model1,t3xlarge8,2020-06-13 17:58:32,512.69,511.65463496875,0.001901,0.638507,800,20.569557,12.011075,7.9240244,5.071550000000001
spe10model1,t3xlarge8,2020-06-13 19:38:41,501.36,500.45828075,0.001699,0.624649,800,19.999052,11.89902,7.811326599999999,5.001618799999999
spe10model1,c5xlarge1,2020-06-13 03:58:57,172.11,171.67882125,0.003023,0.214061,800,8.091698,2.771832,2.0333592000000005,1.2844335000000002
spe10model1,c5xlarge1,2020-06-12 21:42:22,103.77,103.309402,0.004586,0.128691,800,4.089412,1.580679,1.2580376,0.8048537
spe10model1,c5xlarge1,2020-06-12 18:24:13,172.72,172.28451625,0.002906,0.214835,800,8.663977,2.762818,2.0739386,1.3179923
spe10model1,c5xlarge2,2020-06-12 20:12:22,279.74,279.24105925,0.002085,0.348447,800,14.772416,7.992799,5.1396816,3.3195566999999997
spe10model1,c5xlarge2,2020-06-13 05:14:00,281.01,280.282290875,0.002499,0.349624,800,14.934719,7.33736,5.1689186000000005,3.3248317000000007
spe10model1,c5xlarge2,2020-06-12 19:09:53,175.84,175.119822375,0.003038,0.21835,800,7.42296,3.397659,2.4768588,1.6555016999999999
spe10model1,c5xlarge4,2020-06-13 06:46:03,391.25,390.54386775,0.001689,0.487482,800,20.937183,8.646975,6.0438094,3.9523859000000003
spe10model1,c5xlarge4,2020-06-12 20:29:34,396.67,395.8877432500001,0.00166,0.494186,800,20.758831,8.580713,6.1675666,4.0747966
spe10model1,c5xlarge4,2020-06-12 19:24:02,252.43,251.7177831875,0.002486,0.313995,800,10.131275,4.302313,3.2003302,2.1648126999999997
spe10model1,c5xlarge8,2020-06-12 19:42:54,558.37,557.6063423437502,0.001396,0.696171,800,27.690971,15.414226,9.766562799999999,6.0397986999999995
spe10model1,c5xlarge8,2020-06-13 18:27:52,564.87,564.0970425625001,0.001296,0.704338,800,27.98114,15.608675,9.813828999999998,6.0904325
spe10model1,c5xlarge8,2020-06-12 20:53:25,568.4,567.61700121875,0.001296,0.708736,800,28.000899,16.077818,10.0398966,6.1714955
