[MO833] t1_antes_paramount,0.562093
[MO833] t1_antes_paramount,0.564840
[MO833] t1_antes_paramount,0.564947
[MO833] t1_antes_paramount,0.564283
[MO833] Paramount Iteration,1,26.373785,26.935878
[MO833] Paramount Iteration,1,26.374262,26.939102
[MO833] Paramount Iteration,1,26.374379,26.939326
[MO833] Paramount Iteration,1,26.374068,26.938351
[MO833] Paramount Iteration,2,10.886597,37.822475
[MO833] Paramount Iteration,2,10.886936,37.826038
[MO833] Paramount Iteration,2,10.886595,37.825921
[MO833] Paramount Iteration,2,10.886678,37.825029
[MO833] Paramount Iteration,3,10.239171,48.061646
[MO833] Paramount Iteration,3,10.239287,48.065325
[MO833] Paramount Iteration,3,10.239766,48.065687
[MO833] Paramount Iteration,3,10.239826,48.064855
[MO833] Paramount Iteration,4,11.555782,59.621107
[MO833] Paramount Iteration,4,11.555744,59.617390
[MO833] Paramount Iteration,4,11.555760,59.621447
[MO833] Paramount Iteration,4,11.556092,59.620947
[MO833] Paramount Iteration,5,7.622536,67.239926
[MO833] Paramount Iteration,5,7.623269,67.244376
[MO833] Paramount Iteration,5,7.623167,67.244614
[MO833] Paramount Iteration,5,7.623320,67.244267
[MO833] Paramount Iteration,6,3.509907,70.754283
[MO833] Paramount Iteration,6,3.509830,70.754444
[MO833] Paramount Iteration,6,3.509880,70.749806
[MO833] Paramount Iteration,6,3.509907,70.754174
[MO833] Paramount Iteration,7,6.495373,77.249656
[MO833] Paramount Iteration,7,6.494868,77.244674
[MO833] Paramount Iteration,7,6.495615,77.250059
[MO833] Paramount Iteration,7,6.495528,77.249702
[MO833] Paramount Iteration,8,2.399230,79.649289
[MO833] Paramount Iteration,8,2.399466,79.644140
[MO833] Paramount Iteration,8,2.399720,79.649376
[MO833] Paramount Iteration,8,2.399849,79.649551
[MO833] Paramount Iteration,9,2.751683,82.395823
[MO833] Paramount Iteration,9,2.752080,82.401456
[MO833] Paramount Iteration,9,2.752462,82.401751
[MO833] Paramount Iteration,9,2.752249,82.401800
[MO833] Paramount Iteration,10,1.655170,84.050993
[MO833] Paramount Iteration,10,1.655381,84.056837
[MO833] Paramount Iteration,10,1.655229,84.056980
[MO833] PI avg,8.349200,10
[MO833] PI avg,8.349203,10
[MO833] PI avg,8.348890,10
[MO833] Total time,84.059800
[MO833] Total time,84.059972
[MO833] Beta,0.006803
[MO833] Beta,0.006801
[MO833] Total time,84.057221
[MO833] Beta,0.006807
[MO833] Paramount Iteration,10,1.655410,84.057210
[MO833] PI avg,8.349293,10
[MO833] Total time,84.060466
[MO833] Beta,0.006798
