[MO833] t1_antes_paramount,0.404671
[MO833] t1_antes_paramount,0.406993
[MO833] t1_antes_paramount,0.406005
[MO833] t1_antes_paramount,0.406314
[MO833] t1_antes_paramount,0.407446
[MO833] t1_antes_paramount,0.407502
[MO833] t1_antes_paramount,0.407931
[MO833] t1_antes_paramount,0.410857
[MO833] Paramount Iteration,1,6.343236,6.749550
[MO833] Paramount Iteration,1,6.341511,6.749442
[MO833] Paramount Iteration,1,6.343732,6.749737
[MO833] Paramount Iteration,1,6.342010,6.749512
[MO833] Paramount Iteration,1,6.346938,6.751609
[MO833] Paramount Iteration,1,6.344720,6.751713
[MO833] Paramount Iteration,1,6.344318,6.751764
[MO833] Paramount Iteration,1,6.342482,6.753339
[MO833] Paramount Iteration,2,3.205977,9.955419
[MO833] Paramount Iteration,2,3.205632,9.955144
[MO833] Paramount Iteration,2,3.205962,9.955512
[MO833] Paramount Iteration,2,3.206072,9.955809
[MO833] Paramount Iteration,2,3.205925,9.957534
[MO833] Paramount Iteration,2,3.205906,9.957619
[MO833] Paramount Iteration,2,3.205665,9.957429
[MO833] Paramount Iteration,2,3.205836,9.959175
[MO833] Paramount Iteration,3,3.003341,12.958760
[MO833] Paramount Iteration,3,3.003319,12.958463
[MO833] Paramount Iteration,3,3.003028,12.958540
[MO833] Paramount Iteration,3,3.002734,12.958543
[MO833] Paramount Iteration,3,3.003112,12.960541
[MO833] Paramount Iteration,3,3.003371,12.960905
[MO833] Paramount Iteration,3,3.003487,12.961106
[MO833] Paramount Iteration,3,3.003480,12.962655
[MO833] Paramount Iteration,4,1.745371,14.703911
[MO833] Paramount Iteration,4,1.745816,14.704576
[MO833] Paramount Iteration,4,1.745805,14.704268
[MO833] Paramount Iteration,4,1.745563,14.704106
[MO833] Paramount Iteration,4,1.745828,14.706733
[MO833] Paramount Iteration,4,1.745715,14.706821
[MO833] Paramount Iteration,4,1.745826,14.706367
[MO833] Paramount Iteration,4,1.745726,14.708381
[MO833] Paramount Iteration,5,2.429178,17.133089
[MO833] Paramount Iteration,5,2.429184,17.133760
[MO833] Paramount Iteration,5,2.428985,17.133091
[MO833] Paramount Iteration,5,2.428790,17.133058
[MO833] Paramount Iteration,5,2.429208,17.135941
[MO833] Paramount Iteration,5,2.429202,17.136023
[MO833] Paramount Iteration,5,2.428976,17.135343
[MO833] Paramount Iteration,5,2.429217,17.137598
[MO833] Paramount Iteration,6,1.415230,18.548319
[MO833] Paramount Iteration,6,1.415250,18.549010
[MO833] Paramount Iteration,6,1.415110,18.548201
[MO833] Paramount Iteration,6,1.414943,18.548001
[MO833] Paramount Iteration,6,1.415141,18.551082
[MO833] Paramount Iteration,6,1.415120,18.551143
[MO833] Paramount Iteration,6,1.414889,18.550232
[MO833] Paramount Iteration,6,1.415154,18.552752
[MO833] Paramount Iteration,7,2.689256,21.237575
[MO833] Paramount Iteration,7,2.688820,21.236821
[MO833] Paramount Iteration,7,2.689280,21.238290
[MO833] Paramount Iteration,7,2.689295,21.237496
[MO833] Paramount Iteration,7,2.689317,21.240399
[MO833] Paramount Iteration,7,2.689303,21.240446
[MO833] Paramount Iteration,7,2.689041,21.239273
[MO833] Paramount Iteration,7,2.689377,21.242129
[MO833] Paramount Iteration,8,0.469449,21.706945
[MO833] Paramount Iteration,8,0.469737,21.707312
[MO833] Paramount Iteration,8,0.469484,21.707774
[MO833] Paramount Iteration,8,0.469707,21.706528
[MO833] Paramount Iteration,8,0.469911,21.710310
[MO833] Paramount Iteration,8,0.469913,21.710359
[MO833] Paramount Iteration,8,0.469611,21.708884
[MO833] Paramount Iteration,8,0.469883,21.712012
[MO833] Paramount Iteration,9,0.452390,22.160164
[MO833] Paramount Iteration,9,0.452507,22.159819
[MO833] Paramount Iteration,9,0.452637,22.159582
[MO833] Paramount Iteration,9,0.452131,22.158659
[MO833] Paramount Iteration,9,0.452143,22.161027
[MO833] Paramount Iteration,9,0.452402,22.162712
[MO833] Paramount Iteration,9,0.452491,22.162850
[MO833] Paramount Iteration,9,0.452494,22.164506
[MO833] Paramount Iteration,10,0.320055,22.480219
[MO833] Paramount Iteration,10,0.320085,22.479904
[MO833] PI avg,2.207359,10
[MO833] PI avg,2.207229,10
[MO833] Paramount Iteration,10,0.319619,22.478278
[MO833] Paramount Iteration,10,0.320207,22.479789
[MO833] PI avg,2.207378,10
[MO833] Paramount Iteration,10,0.319956,22.482668
[MO833] PI avg,2.207078,10
[MO833] Paramount Iteration,10,0.319845,22.482695
[MO833] PI avg,2.207570,10
[MO833] PI avg,2.207800,10
[MO833] Paramount Iteration,10,0.319928,22.480955
[MO833] PI avg,2.207351,10
[MO833] Total time,22.497079
[MO833] Total time,22.492608
[MO833] Beta,1
[MO833] Beta,1
[MO833] Total time,22.483839
[MO833] Beta,0.018590
[MO833] Total time,22.496220
[MO833] Beta,0.019151
[MO833] Total time,22.489073
[MO833] Beta,0.018827
[MO833] Paramount Iteration,10,0.319536,22.484042
[MO833] PI avg,2.207318,10
[MO833] Total time,22.503925
[MO833] Beta,0.019513
[MO833] Total time,22.489248
[MO833] Total time,22.495686
[MO833] Beta,0.018821
[MO833] Beta,0.019113
