test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
spe9,t2small1,2020-06-13 03:07:53,20.07,19.594576,0.017958,0.213877,90,0.956819,0.376504,0.2366388,0.204787
spe9,t2small1,2020-06-13 14:23:11,19.34,18.904671,0.018302,0.206276,90,0.9419,0.368041,0.2326066,0.2014881
spe9,t2small1,2020-06-13 20:32:26,20.2,19.77527,0.01788,0.215866,90,0.965219,0.372993,0.23604219999999998,0.2049951
spe9,t2small2,2020-06-13 15:16:50,29.79,29.274670999999998,0.026792,0.316793,90,1.449169,0.545581,0.35482779999999997,0.3143661
spe9,t2small2,2020-06-13 20:55:18,31.14,30.403602,0.025571,0.329404,90,1.489374,0.538469,0.3535856,0.3140001
spe9,t2small2,2020-06-13 04:15:25,32.57,31.092867,0.024762,0.33714,90,1.4458,0.535315,0.3506588,0.30619199999999996
spe9,t2small4,2020-06-13 16:15:22,52.24,51.41320175,0.020494,0.559798,90,2.21817,0.863542,0.57072,0.5298505
spe9,t2small4,2020-06-13 05:33:28,47.27,46.3905095,0.02261,0.504082,90,2.331717,0.860445,0.5671934,0.49394789999999994
spe9,t2small4,2020-06-13 21:23:21,46.67,45.83690275,0.022321,0.498191,90,2.074405,0.828063,0.543919,0.471298
spe9,t2small8,2020-06-13 23:35:45,68.15,67.28730275,0.021383,0.732064,90,3.319369,1.126053,0.8441765999999999,0.7959588999999999
spe9,t2small8,2020-06-14 01:47:14,74.53,71.83607099999999,0.018873,0.783435,90,3.14965,1.496633,1.0286956,0.9049279
spe9,t2small8,2020-06-13 22:06:13,591.46,590.582066875,0.002744,6.544117,90,3.162709,1.14768,0.7768873999999999,0.683935
spe9,t3small1,2020-06-12 23:25:05,21.15,20.348807,0.036018,0.218324,90,0.921967,0.35485,0.23680779999999996,0.2066032
spe9,t3small1,2020-06-13 14:42:49,22.07,21.4109015,0.034223,0.230049,90,0.990056,0.401129,0.24999120000000002,0.21932300000000002
spe9,t3small1,2020-06-13 03:27:54,21.0,20.5447295,0.03401,0.220831,90,0.918973,0.380638,0.24598879999999998,0.21289799999999998
spe9,t3small2,2020-06-12 23:44:19,21.39,20.45361225,0.034715,0.21968,90,0.949589,0.357797,0.23972739999999998,0.22010639999999998
spe9,t3small2,2020-06-13 15:41:36,20.75,19.9221655,0.045946,0.211682,90,1.018558,0.373902,0.23463380000000003,0.20703090000000005
spe9,t3small2,2020-06-13 04:41:22,20.33,19.7974485,0.037983,0.211935,90,0.8655,0.340781,0.2246708,0.1982999
spe9,t3small4,2020-06-13 00:02:32,23.86,22.4048325,0.037484,0.240042,90,1.023391,0.385464,0.2575188,0.22871480000000002
spe9,t3small4,2020-06-13 06:07:48,24.54,23.578648375,0.032995,0.253679,90,1.126529,0.419993,0.2753044,0.24408060000000004
spe9,t3small4,2020-06-13 16:51:53,24.02,22.836639625,0.050539,0.241534,90,1.036017,0.503528,0.2796253999999999,0.24046379999999995
spe9,t3small8,2020-06-13 00:25:22,31.94,30.9780435,0.028519,0.334691,90,1.422905,0.559378,0.36194560000000003,0.3199665000000001
spe9,t3small8,2020-06-13 17:33:33,31.09,29.8556755,0.032485,0.32135,90,1.359108,0.511489,0.3420874,0.30461879999999997
spe9,t3small8,2020-06-13 20:09:19,31.69,30.5095704375,0.042686,0.324904,90,1.363098,0.533122,0.3508,0.3101743
spe9,t3xlarge1,2020-06-13 15:01:05,13.9,13.509839750000001,0.049261,0.143165,90,0.699404,0.286561,0.1760736,0.1459306
spe9,t3xlarge1,2020-06-13 03:45:53,15.13,14.706128,0.049869,0.155763,90,0.662241,0.243675,0.16288260000000002,0.14315650000000002
spe9,t3xlarge1,2020-06-12 21:29:00,15.48,15.034961500000001,0.047012,0.159648,90,0.665656,0.249965,0.16315200000000002,0.1441615
spe9,t3xlarge2,2020-06-13 15:57:52,18.66,17.924245625,0.041352,0.191372,90,0.875658,0.341884,0.2173822,0.18651589999999996
spe9,t3xlarge2,2020-06-13 04:58:07,19.77,19.060827125,0.042467,0.203259,90,0.930647,0.358775,0.22974440000000002,0.20336089999999998
spe9,t3xlarge2,2020-06-12 21:56:25,17.87,17.178372625,0.043165,0.182965,90,0.783627,0.293607,0.192844,0.1694427
spe9,t3xlarge4,2020-06-13 17:10:56,25.06,24.3028313125,0.034112,0.261205,90,1.14415,0.423059,0.2801842,0.24799640000000003
spe9,t3xlarge4,2020-06-13 06:27:35,24.74,23.948892375,0.038833,0.256331,90,1.094181,0.417972,0.27770880000000003,0.2467592
