[MO833] t1_antes_paramount,0.685025
[MO833] t1_antes_paramount,0.684448
[MO833] t1_antes_paramount,0.684522
[MO833] t1_antes_paramount,0.686921
[MO833] t1_antes_paramount,0.684583
[MO833] t1_antes_paramount,0.686977
[MO833] t1_antes_paramount,0.686832
[MO833] t1_antes_paramount,0.698215
[MO833] Paramount Iteration,1,0.851958,1.536406
[MO833] Paramount Iteration,1,0.851907,1.536429
[MO833] Paramount Iteration,1,0.851842,1.538763
[MO833] Paramount Iteration,1,0.853372,1.538397
[MO833] Paramount Iteration,1,0.851822,1.538799
[MO833] Paramount Iteration,1,0.852293,1.536876
[MO833] Paramount Iteration,1,0.851851,1.538683
[MO833] Paramount Iteration,1,0.839367,1.537582
[MO833] Paramount Iteration,2,0.320874,1.859637
[MO833] Paramount Iteration,2,0.320711,1.859510
[MO833] Paramount Iteration,2,0.321030,1.857459
[MO833] Paramount Iteration,2,0.320788,1.859185
[MO833] Paramount Iteration,2,0.321126,1.857532
[MO833] Paramount Iteration,2,0.320453,1.859136
[MO833] Paramount Iteration,2,0.320710,1.857586
[MO833] Paramount Iteration,2,0.320630,1.858212
[MO833] Paramount Iteration,3,0.204883,2.064520
[MO833] Paramount Iteration,3,0.204904,2.064414
[MO833] Paramount Iteration,3,0.204556,2.063741
[MO833] Paramount Iteration,3,0.204668,2.062127
[MO833] Paramount Iteration,3,0.204689,2.062275
[MO833] Paramount Iteration,3,0.204694,2.063830
[MO833] Paramount Iteration,3,0.204664,2.062196
[MO833] Paramount Iteration,3,0.204781,2.062993
[MO833] Paramount Iteration,4,0.205910,2.268037
[MO833] Paramount Iteration,4,0.205941,2.270461
[MO833] Paramount Iteration,4,0.205636,2.269466
[MO833] Paramount Iteration,4,0.205986,2.270400
[MO833] Paramount Iteration,4,0.205933,2.268208
[MO833] Paramount Iteration,4,0.205689,2.267885
[MO833] Paramount Iteration,4,0.205496,2.269237
[MO833] Paramount Iteration,4,0.205920,2.268913
[MO833] Paramount Iteration,5,0.164307,2.434707
[MO833] Paramount Iteration,5,0.164238,2.432275
[MO833] Paramount Iteration,5,0.163694,2.432931
[MO833] Paramount Iteration,5,0.164334,2.434795
[MO833] Paramount Iteration,5,0.164157,2.432042
[MO833] Paramount Iteration,5,0.164615,2.432823
[MO833] Paramount Iteration,5,0.164928,2.434394
[MO833] Paramount Iteration,5,0.164552,2.433465
[MO833] Paramount Iteration,6,0.160826,2.593757
[MO833] Paramount Iteration,6,0.160796,2.595591
[MO833] Paramount Iteration,6,0.160805,2.593080
[MO833] Paramount Iteration,6,0.161048,2.595755
[MO833] Paramount Iteration,6,0.160532,2.592574
[MO833] Paramount Iteration,6,0.160962,2.593785
[MO833] Paramount Iteration,6,0.160818,2.595212
[MO833] Paramount Iteration,6,0.160878,2.594343
[MO833] Paramount Iteration,7,0.164773,2.760364
[MO833] Paramount Iteration,7,0.164766,2.760521
[MO833] Paramount Iteration,7,0.164514,2.758271
[MO833] Paramount Iteration,7,0.164779,2.757859
[MO833] Paramount Iteration,7,0.164647,2.757221
[MO833] Paramount Iteration,7,0.164703,2.758488
[MO833] Paramount Iteration,7,0.164542,2.759754
[MO833] Paramount Iteration,7,0.164697,2.759040
[MO833] Paramount Iteration,8,0.160567,2.918838
[MO833] Paramount Iteration,8,0.160946,2.921468
[MO833] Paramount Iteration,8,0.160949,2.921313
[MO833] Paramount Iteration,8,0.160920,2.918779
[MO833] Paramount Iteration,8,0.160743,2.917964
[MO833] Paramount Iteration,8,0.160848,2.919336
[MO833] Paramount Iteration,8,0.160677,2.920431
[MO833] Paramount Iteration,8,0.160852,2.919892
[MO833] Paramount Iteration,9,0.162507,3.081345
[MO833] Paramount Iteration,9,0.162705,3.084172
[MO833] Paramount Iteration,9,0.162498,3.083811
[MO833] Paramount Iteration,9,0.162635,3.081414
[MO833] Paramount Iteration,9,0.162464,3.080428
[MO833] Paramount Iteration,9,0.162551,3.081887
[MO833] Paramount Iteration,9,0.162395,3.082826
[MO833] Paramount Iteration,9,0.162552,3.082444
[MO833] Paramount Iteration,10,0.165623,3.246968
[MO833] PI avg,0.256194,10
[MO833] Paramount Iteration,10,0.165908,3.250080
[MO833] PI avg,0.256310,10
[MO833] Paramount Iteration,10,0.165863,3.249674
[MO833] PI avg,0.256275,10
[MO833] Paramount Iteration,10,0.165811,3.247225
[MO833] PI avg,0.256270,10
[MO833] Paramount Iteration,10,0.165950,3.246378
[MO833] PI avg,0.256193,10
[MO833] Paramount Iteration,10,0.165684,3.248510
[MO833] Paramount Iteration,10,0.165943,3.247830
[MO833] PI avg,0.256325,10
[MO833] PI avg,0.256168,10
[MO833] Paramount Iteration,10,0.165928,3.248372
[MO833] PI avg,0.255016,10
[MO833] Total time,3.261668
[MO833] Beta,0.272722
[MO833] Total time,3.252789
[MO833] Total time,3.262339
[MO833] Beta,0.279268
[MO833] Beta,0.269257
[MO833] Total time,3.268443
[MO833] Beta,0.275366
[MO833] Total time,3.251471
[MO833] Total time,3.258881
[MO833] Beta,0.275007
[MO833] Beta,0.277912
[MO833] Total time,3.257940
[MO833] Beta,0.271267
[MO833] Total time,3.268470
[MO833] Beta,0.281673
